Date,Open,Close,High,Volume
2022-01-25,4366.64,4356.45,4411.0,5145050000.0
2022-01-24,4356.31,4410.12,4417.35,6928110000.0
2022-01-21,4471.37,4397.93,4494.52,5589100000.0
2022-01-20,4547.35,4482.72,4602.1,4640870000.0
2022-01-19,4588.02,4532.75,4611.54,4465740000.0
2022-01-18,4632.24,4577.1,4632.24,4748700000.0
2022-01-14,4637.99,4662.85,4665.12,4338490000.0
2022-01-13,4733.56,4659.02,4744.12,4251730000.0
2022-01-12,4728.58,4726.35,4748.83,4048220000.0
2022-01-11,4669.14,4713.06,4714.12,4101590000.0
2022-01-10,4655.33,4670.29,4673.02,4511810000.0
2022-01-07,4697.66,4677.02,4707.95,4181510000.0
2022-01-06,4693.39,4696.04,4725.0,4295280000.0
2022-01-05,4787.99,4700.58,4797.7,4887960000.0
2022-01-04,4804.5,4793.54,4818.62,4683170000.0
2022-01-03,4778.14,4796.56,4796.64,3831020000.0
2021-12-31,4775.2,4766.18,4786.83,2677820000.0
2021-12-30,4794.22,4778.72,4808.93,3124950000.0
2021-12-29,4788.64,4793.06,4804.06,2963310000.0
2021-12-28,4795.49,4786.35,4807.02,2707920000.0
2021-12-27,4733.99,4791.18,4791.49,2770290000.0
2021-12-23,4703.95,4725.79,4740.74,2913040000.0
2021-12-22,4650.35,4696.56,4697.66,3319610000.0
2021-12-21,4594.95,4649.22,4651.14,4072430000.0
2021-12-20,4587.89,4568.02,4587.89,4635700000.0
2021-12-17,4652.5,4620.64,4666.7,7987090000.0
2021-12-16,4719.12,4668.66,4731.99,4829500000.0
2021-12-15,4636.45,4709.85,4712.6,4910130000.0
2021-12-14,4642.99,4634.08,4660.47,4485430000.0
2021-12-13,4710.29,4668.97,4710.29,4397230000.0
2021-12-10,4687.64,4712.02,4713.56,3870110000.0
2021-12-09,4691.0,4667.45,4695.25,3903840000.0
2021-12-08,4690.85,4701.2,4705.06,4234600000.0
2021-12-07,4631.97,4686.75,4694.04,4492400000.0
2021-12-06,4548.37,4591.66,4612.6,4770800000.0
2021-12-03,4589.49,4538.43,4608.02,5240070000.0
2021-12-02,4504.72,4577.1,4595.45,5077180000.0
2021-12-01,4602.81,4513.04,4652.93,5366730000.0
2021-11-30,4640.25,4567.0,4646.02,6625990000.0
2021-11-29,4628.75,4655.27,4672.95,4336410000.0
2021-11-26,4664.62,4594.62,4664.62,3517700000.0
2021-11-24,4675.77,4701.45,4702.87,3418430000.0
