,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Momentum,lagged_sentiment_score,rolling_sentiment_score,log_return,conditional_volatility,volatility_shocks,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3
2137,2014-06-04,1923.06,1927.88,1928.63,2793920000.0,0.23,0,2.9200000000000728,0.3399999999999999,0.0185714285714285,-0.00649895135242596,0.5693179843059462,-1.1415327693097228,0.579770742461554,0.5954465999752402,0.5251271034035814
2138,2014-06-02,1923.86,1924.96,1925.88,2509020000.0,0.3399999999999999,1,1.400000000000091,-1.1,0.067142857142857,-0.0015157652843457217,0.5873776500268794,-0.25805634318506293,0.5693179843059462,0.579770742461554,0.5954465999752402
2139,2014-05-30,1920.32,1923.56,1924.03,3263490000.0,-1.1,1,3.5299999999999727,-0.1,-0.0142857142857143,-0.0007275524418506992,0.554104174789473,-0.13130246530395231,0.5873776500268794,0.5693179843059462,0.579770742461554
2140,2014-05-29,1910.59,1920.03,1920.03,2709050000.0,-0.1,0,8.11999999999989,0.25,-0.03,-0.0018368249436055146,0.5239801136499674,-0.3505524152072233,0.554104174789473,0.5873776500268794,0.5693179843059462
2141,2014-05-27,1902.01,1911.91,1912.28,2911020000.0,0.25,1,11.38000000000011,0.21,0.007142857142857,-0.0042380685259990085,0.499611594182187,-0.8482726532670429,0.5239801136499674,0.554104174789473,0.5873776500268794
2142,2014-05-23,1893.31,1900.53,1901.26,2396280000.0,0.21,1,8.049999999999955,0.6,-0.0242857142857143,-0.005969947749389875,0.49761753278008575,-1.1997060706516947,0.499611594182187,0.5239801136499674,0.554104174789473
2143,2014-05-22,1888.18,1892.48,1896.32,2759800000.0,0.6,1,14.63000000000011,-0.51,0.0614285714285713,-0.004244656400311584,0.5212298487611077,-0.8143540532838927,0.49761753278008575,0.499611594182187,0.5239801136499674
2144,2014-05-16,1871.18,1877.85,1878.28,3173650000.0,-0.51,1,7.009999999999991,-0.7000000000000001,-0.0442857142857143,-0.007760632850276802,0.5157540615985713,-1.5047157992751132,0.5212298487611077,0.49761753278008575,0.499611594182187
2145,2014-05-15,1888.16,1870.84,1888.16,3552640000.0,-0.7000000000000001,0,-26.600000000000136,-0.04,-0.1928571428571429,-0.003739977523342602,0.5694479304507009,-0.6567725200761592,0.5157540615985713,0.5212298487611077,0.49761753278008575
2146,2014-05-13,1896.75,1897.44,1902.17,2915680000.0,-0.04,1,21.809999999999945,-0.12,-0.0414285714285714,0.014118081366046784,0.5513964436593516,2.560423000255842,0.5694479304507009,0.5157540615985713,0.5212298487611077
2147,2014-05-08,1877.39,1875.63,1889.06,3393420000.0,-0.12,0,-2.5699999999999363,-0.08,-0.0442857142857143,-0.011561006247332637,0.8061634472367313,-1.4340772069187762,0.5513964436593516,0.5694479304507009,0.5157540615985713
2148,2014-05-07,1868.53,1878.2,1878.82,3632950000.0,-0.08,1,10.490000000000007,0.01,-0.0914285714285715,0.0013692684013608886,0.8707276036578601,0.1572556555699735,0.8061634472367313,0.5513964436593516,0.5694479304507009
2149,2014-05-06,1883.68,1867.71,1883.68,3327260000.0,0.01,0,-16.950000000000045,0.46,-0.12,-0.005600789886348787,0.810174280270499,-0.6913067993813392,0.8707276036578601,0.8061634472367313,0.5513964436593516
2150,2014-05-05,1879.44,1884.66,1885.51,2733730000.0,0.46,0,3.519999999999982,0.1099999999999999,-0.14,0.009034351776292844,0.7773722774011208,1.1621654178994032,0.810174280270499,0.8707276036578601,0.8061634472367313
2151,2014-05-02,1885.3,1881.14,1891.32,3159560000.0,0.1099999999999999,1,-2.5399999999999636,0.57,-0.0514285714285714,-0.0018694572336087779,0.8275151130694389,-0.22591215605411025,0.7773722774011208,0.810174280270499,0.8707276036578601
2152,2014-05-01,1884.39,1883.68,1888.58,3416740000.0,0.57,1,-0.2599999999999909,-0.35,0.1299999999999999,0.0013493343030381258,0.7680597586070357,0.1756809008566336,0.8275151130694389,0.7773722774011208,0.810174280270499
2153,2014-04-30,1877.09,1883.94,1885.19,3779230000.0,-0.35,1,20.539999999999964,0.05,0.0857142857142856,0.0001380181655328955,0.7188292703965041,0.019200409779747157,0.7680597586070357,0.8275151130694389,0.7773722774011208
2154,2014-04-25,1877.71,1863.4,1877.71,3213020000.0,0.05,0,-15.199999999999818,-0.06,0.1099999999999999,-0.010962552479095108,0.6706745406023535,-1.634556228904902,0.7188292703965041,0.7680597586070357,0.8275151130694389
2155,2014-04-24,1881.96,1878.6,1884.06,3191830000.0,-0.06,1,3.209999999999809,-0.3,0.1128571428571428,0.008124042544090276,0.7554928278193382,1.0753302010211785,0.6706745406023535,0.7188292703965041,0.7680597586070357
2156,2014-04-23,1879.31,1875.39,1879.75,3085720000.0,-0.3,1,10.550000000000182,-0.05,0.0685714285714285,-0.0017101807849045842,0.7924300546120738,-0.21581473026559878,0.7554928278193382,0.6706745406023535,0.7188292703965041
2157,2014-04-17,1861.72,1864.84,1869.63,3341430000.0,-0.05,0,2.5299999999999727,0.0699999999999999,-0.0042857142857143,-0.005641379262561526,0.7363578364402393,-0.7661192674791835,0.7924300546120738,0.7554928278193382,0.6706745406023535
2158,2014-04-16,1846.01,1862.31,1862.31,3155080000.0,0.0699999999999999,1,19.33999999999992,-0.01,-0.01,-0.0013576058857763206,0.7143629950446015,-0.19004426253792137,0.7363578364402393,0.7924300546120738,0.7554928278193382
2159,2014-04-15,1831.44,1842.97,1844.02,3736440000.0,-0.01,1,12.370000000000118,0.64,-0.0928571428571429,-0.010439251897756194,0.6661396603570457,-1.5671266130830335,0.7143629950446015,0.7363578364402393,0.7924300546120738
2160,2014-04-14,1818.18,1830.6,1834.18,3111540000.0,0.64,1,14.919999999999844,0.19,0.0485714285714285,-0.006734618778737539,0.7402520427861128,-0.909773751301005,0.6661396603570457,0.7143629950446015,0.7363578364402393
2161,2014-04-11,1830.65,1815.68,1835.06,3743460000.0,0.19,0,-17.389999999999873,-0.13,0.0685714285714285,-0.008183728770247017,0.7316807756845105,-1.1184835029444198,0.7402520427861128,0.6661396603570457,0.7143629950446015
2162,2014-04-10,1872.28,1833.07,1872.53,3758780000.0,-0.13,1,-32.00999999999999,0.13,0.0585714285714285,0.009532103691693909,0.7470331380095985,1.2759947593611882,0.7316807756845105,0.7402520427861128,0.6661396603570457
2163,2014-04-04,1890.25,1865.08,1897.28,3583750000.0,0.13,1,-23.690000000000055,0.09,0.1199999999999999,0.0173117907281662,0.8145525486016449,2.125312941182938,0.7470331380095985,0.7316807756845105,0.7402520427861128
2164,2014-04-03,1891.43,1888.77,1893.8,3055600000.0,0.09,1,3.25,0.39,0.1399999999999999,0.01262187594449214,1.0619007040179909,1.188611693799037,0.8145525486016449,0.7470331380095985,0.7316807756845105
2165,2014-04-01,1873.95,1885.52,1885.83,3336190000.0,0.39,1,27.91000000000008,-0.22,0.1857142857142856,-0.0017221786366518655,1.1228031439748904,-0.15338206397918486,1.0619007040179909,0.8145525486016449,0.7470331380095985
2166,2014-03-28,1850.06,1857.61,1866.63,2955520000.0,-0.22,1,8.569999999999936,0.0399999999999999,0.1557142857142856,-0.01491292968872814,1.032940488598493,-1.4437356123935268,1.1228031439748904,1.0619007040179909,0.8145525486016449
2167,2014-03-27,1852.1,1849.04,1855.55,3733430000.0,0.0399999999999999,0,-3.519999999999982,0.28,0.0699999999999999,-0.0046241297509705655,1.1166322708895782,-0.414113927343932,1.032940488598493,1.1228031439748904,1.0619007040179909
2168,2014-03-26,1867.08,1852.56,1875.92,3480850000.0,0.28,1,-13.049999999999956,-0.01,0.0828571428571428,0.0019018808412744322,1.0389637065053963,0.18305556097541642,1.1166322708895782,1.032940488598493,1.1228031439748904
2169,2014-03-25,1859.47,1865.61,1871.86,3200560000.0,-0.01,1,8.179999999999836,-0.01,0.0999999999999999,0.007019611037931104,0.96288993719271,0.7290148922312623,1.0389637065053963,1.1166322708895782,1.032940488598493
2170,2014-03-24,1867.67,1857.43,1873.33,3409000000.0,-0.01,0,-14.579999999999927,-0.05,0.0799999999999999,-0.004394265526389939,0.9444931809550027,-0.46525116485719653,0.96288993719271,1.0389637065053963,1.1166322708895782
2171,2014-03-20,1860.08,1872.01,1873.48,3327540000.0,-0.05,0,11.240000000000007,-0.09,0.0599999999999999,0.007818908082362228,0.8844663928381804,0.8840254582508207,0.9444931809550027,0.96288993719271,1.0389637065053963
2172,2014-03-19,1872.25,1860.77,1874.14,3289210000.0,-0.09,0,-11.480000000000018,-0.32,-0.0085714285714286,-0.006022339367196291,0.8912051494191573,-0.6757523081101303,0.8844663928381804,0.9444931809550027,0.96288993719271
2173,2014-03-18,1858.92,1872.25,1873.76,2930190000.0,-0.32,1,13.430000000000064,-0.01,-0.0228571428571429,0.006150535593061184,0.8520022803687333,0.7218919168149794,0.8912051494191573,0.8844663928381804,0.9444931809550027
